product_item,quantity,due_date,parent_item,child_item,child_qty,child_due_date
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0259,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0714,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0670,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0010,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0512,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0523,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0457,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0057,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0018,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0515,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0099,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0537,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0197,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0635,20.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0081,20.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0383,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0714,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0308,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0666,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0389,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0720,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000041,CMP0340,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0406,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0261,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0004,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0764,18.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0224,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0099,48.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0537,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0197,30.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0635,36.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0383,42.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0670,18.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0389,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0445,48.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000043,CMP0340,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0384,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0392,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0460,2.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0549,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0294,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0184,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0537,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0153,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0247,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0540,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0383,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0471,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0670,14.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0389,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0387,14.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0566,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0058,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0085,10.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000045,CMP0661,8.0,2025-05-20
