parent_item,child_item,quantity_per
ITEM00053,ITEM00542,78.1
ITEM00055,ITEM00542,1
ITEM00056,ITEM00542,1
ITEM00053,ITEM00543,2.2
ITEM00053,ITEM00544,1.1
ITEM00057,ITEM00545,10
ITEM00058,ITEM00545,341
ITEM00059,ITEM00546,1
ITEM00039,ITEM00546,4
ITEM00060,ITEM00547,3
ITEM00061,ITEM00547,3
ITEM00062,ITEM00547,3
ITEM00063,ITEM00547,2
ITEM00064,ITEM00547,3
ITEM00025,ITEM00548,1
ITEM00018,ITEM00549,2
ITEM00008,ITEM00549,2
ITEM00009,ITEM00549,2
ITEM00010,ITEM00549,2
ITEM00011,ITEM00549,2
ITEM00065,ITEM00550,2
ITEM00066,ITEM00551,1
ITEM00063,ITEM00552,4
ITEM00065,ITEM00553,1
ITEM00065,ITEM00554,1
ITEM00067,ITEM00554,3
ITEM00057,ITEM00555,2.2
ITEM00068,ITEM00555,1.1
ITEM00069,ITEM00556,1
ITEM00070,ITEM00556,1
ITEM00069,ITEM00557,1
ITEM00070,ITEM00557,1
ITEM00069,ITEM00558,1
ITEM00070,ITEM00558,1
ITEM00069,ITEM00559,1
ITEM00070,ITEM00559,1
ITEM00071,ITEM00560,8
ITEM00060,ITEM00561,1
ITEM00061,ITEM00561,3
ITEM00062,ITEM00561,3
ITEM00063,ITEM00561,3
ITEM00064,ITEM00561,3
ITEM00060,ITEM00562,1
ITEM00061,ITEM00562,1
ITEM00062,ITEM00562,1
ITEM00063,ITEM00562,1
ITEM00064,ITEM00562,1
ITEM00061,ITEM00563,2
ITEM00062,ITEM00563,2
ITEM00064,ITEM00563,2
ITEM00060,ITEM00564,1
ITEM00061,ITEM00564,0.2
ITEM00062,ITEM00564,0.2
ITEM00063,ITEM00564,1
ITEM00064,ITEM00564,0.2
ITEM00072,ITEM00565,0.1
ITEM00073,ITEM00566,1
ITEM00074,ITEM00567,1
ITEM00075,ITEM00568,1
ITEM00076,ITEM00569,1
ITEM00077,ITEM00570,1
ITEM00002,ITEM00571,1
ITEM00075,ITEM00572,1
ITEM00076,ITEM00572,1
ITEM00077,ITEM00573,1
ITEM00078,ITEM00574,40
ITEM00079,ITEM00574,16
ITEM00015,ITEM00574,4
ITEM00004,ITEM00574,68
ITEM00016,ITEM00574,4
ITEM00080,ITEM00574,2
ITEM00033,ITEM00574,2
ITEM00034,ITEM00574,2
ITEM00018,ITEM00575,2
ITEM00081,ITEM00576,7
ITEM00082,ITEM00577,8
ITEM00083,ITEM00577,7
ITEM00081,ITEM00578,4
ITEM00082,ITEM00578,4
ITEM00083,ITEM00578,4
ITEM00084,ITEM00579,2
ITEM00057,ITEM00580,2.2
ITEM00081,ITEM00580,1
ITEM00082,ITEM00580,1
ITEM00083,ITEM00580,1
ITEM00084,ITEM00581,0.5
ITEM00084,ITEM00582,6
ITEM00085,ITEM00583,1
ITEM00086,ITEM00583,1
ITEM00087,ITEM00583,1
ITEM00088,ITEM00583,1
ITEM00012,ITEM00584,3
ITEM00012,ITEM00585,5
ITEM00012,ITEM00586,2
ITEM00086,ITEM00586,2
ITEM00087,ITEM00586,2
ITEM00012,ITEM00587,1
ITEM00012,ITEM00588,1
ITEM00085,ITEM00589,2
ITEM00086,ITEM00589,2
ITEM00087,ITEM00589,2
ITEM00088,ITEM00589,2
ITEM00089,ITEM00590,1
ITEM00090,ITEM00590,4
ITEM00091,ITEM00591,2
ITEM00092,ITEM00591,1
ITEM00093,ITEM00591,1
ITEM00094,ITEM00591,1
ITEM00095,ITEM00591,1
ITEM00055,ITEM00592,8
ITEM00056,ITEM00592,16
ITEM00039,ITEM00593,2
ITEM00057,ITEM00594,3.3
ITEM00057,ITEM00595,22
ITEM00096,ITEM00596,3
ITEM00096,ITEM00597,1
ITEM00060,ITEM00598,1
ITEM00061,ITEM00598,1
ITEM00062,ITEM00598,1
ITEM00097,ITEM00599,1
ITEM00032,ITEM00600,1
ITEM00032,ITEM00601,1
ITEM00018,ITEM00602,4
ITEM00098,ITEM00602,4
ITEM00043,ITEM00602,2
ITEM00044,ITEM00602,4
ITEM00098,ITEM00603,2
ITEM00018,ITEM00604,1
ITEM00008,ITEM00604,1
ITEM00009,ITEM00604,1
ITEM00010,ITEM00604,1
ITEM00098,ITEM00605,2
ITEM00042,ITEM00606,2
ITEM00008,ITEM00606,1
ITEM00009,ITEM00606,1
ITEM00010,ITEM00606,1
ITEM00042,ITEM00607,2
ITEM00042,ITEM00608,4
ITEM00042,ITEM00609,2
ITEM00043,ITEM00609,2
ITEM00044,ITEM00609,2
ITEM00099,ITEM00610,3
ITEM00032,ITEM00610,1
ITEM00008,ITEM00610,1
ITEM00009,ITEM00610,1
ITEM00010,ITEM00610,1
ITEM00011,ITEM00610,1
ITEM00018,ITEM00610,1
ITEM00100,ITEM00611,1
ITEM00101,ITEM00612,2
ITEM00057,ITEM00612,133.1
ITEM00068,ITEM00612,194.7
ITEM00057,ITEM00613,3.3
ITEM00068,ITEM00613,139.7
ITEM00057,ITEM00614,161.7
ITEM00068,ITEM00614,234.3
ITEM00101,ITEM00615,2
ITEM00068,ITEM00616,124.3
ITEM00057,ITEM00617,4.4
ITEM00057,ITEM00618,4.4
ITEM00057,ITEM00619,4.4
ITEM00068,ITEM00619,46.2
ITEM00068,ITEM00620,14.3
ITEM00047,ITEM00621,1.095238
ITEM00003,ITEM00622,2
ITEM00006,ITEM00623,1
ITEM00003,ITEM00623,1
ITEM00006,ITEM00624,1
ITEM00032,ITEM00625,2
ITEM00032,ITEM00626,2
ITEM00033,ITEM00627,1
ITEM00034,ITEM00627,1
ITEM00006,ITEM00628,2
ITEM00034,ITEM00628,1
ITEM00006,ITEM00629,8
ITEM00033,ITEM00630,2
ITEM00034,ITEM00630,2
ITEM00006,ITEM00631,2
ITEM00020,ITEM00632,1
ITEM00102,ITEM00633,1
ITEM00022,ITEM00634,1
ITEM00015,ITEM00635,2
ITEM00016,ITEM00635,2
ITEM00103,ITEM00636,1
ITEM00104,ITEM00636,21
ITEM00006,ITEM00637,1
ITEM00006,ITEM00638,1
ITEM00072,ITEM00639,2
ITEM00010,ITEM00639,1
ITEM00011,ITEM00639,1
ITEM00008,ITEM00639,1
ITEM00009,ITEM00639,1
ITEM00071,ITEM00640,2
ITEM00105,ITEM00641,2
ITEM00057,ITEM00642,3.3
ITEM00068,ITEM00642,9.9
ITEM00078,ITEM00643,20
ITEM00079,ITEM00643,8
ITEM00004,ITEM00643,1
ITEM00080,ITEM00643,1
ITEM00057,ITEM00644,2.2
ITEM00106,ITEM00645,3
ITEM00107,ITEM00645,3
ITEM00108,ITEM00645,4
ITEM00109,ITEM00645,4
ITEM00110,ITEM00645,4
ITEM00111,ITEM00645,4
ITEM00112,ITEM00645,4
ITEM00113,ITEM00645,4
ITEM00114,ITEM00646,11
ITEM00114,ITEM00647,11
ITEM00114,ITEM00648,55
ITEM00114,ITEM00649,11
ITEM00114,ITEM00650,22
ITEM00032,ITEM00651,8
ITEM00114,ITEM00652,8.8
ITEM00114,ITEM00653,34.1
ITEM00115,ITEM00654,1
ITEM00116,ITEM00655,40
ITEM00117,ITEM00655,100
ITEM00118,ITEM00655,50
ITEM00118,ITEM00656,50
ITEM00106,ITEM00656,50
ITEM00107,ITEM00656,50
ITEM00118,ITEM00657,50
ITEM00106,ITEM00657,50
ITEM00107,ITEM00657,50
ITEM00119,ITEM00658,20
ITEM00120,ITEM00658,10
ITEM00116,ITEM00658,40
ITEM00117,ITEM00658,100
ITEM00106,ITEM00658,50
ITEM00107,ITEM00658,50
ITEM00118,ITEM00658,50
ITEM00103,ITEM00658,20
ITEM00117,ITEM00659,100
ITEM00118,ITEM00659,50
ITEM00106,ITEM00659,50
ITEM00107,ITEM00659,50
ITEM00117,ITEM00660,100
ITEM00118,ITEM00660,50
ITEM00106,ITEM00660,50
ITEM00107,ITEM00660,50
ITEM00117,ITEM00661,100
ITEM00118,ITEM00661,50
ITEM00106,ITEM00661,50
ITEM00107,ITEM00661,50
ITEM00117,ITEM00662,100
ITEM00118,ITEM00662,50
ITEM00106,ITEM00662,50
ITEM00107,ITEM00662,50
ITEM00106,ITEM00663,50
ITEM00107,ITEM00663,50
ITEM00119,ITEM00664,20
ITEM00120,ITEM00664,10
ITEM00117,ITEM00664,100
ITEM00106,ITEM00664,50
ITEM00107,ITEM00664,50
ITEM00118,ITEM00664,50
ITEM00103,ITEM00664,20
ITEM00117,ITEM00665,100
ITEM00118,ITEM00665,50
ITEM00106,ITEM00665,50
ITEM00107,ITEM00665,50
ITEM00117,ITEM00666,100
ITEM00118,ITEM00666,50
ITEM00106,ITEM00666,50
ITEM00107,ITEM00666,50
ITEM00055,ITEM00667,1
ITEM00056,ITEM00667,2
ITEM00121,ITEM00668,2
ITEM00071,ITEM00669,1
ITEM00100,ITEM00670,1
ITEM00117,ITEM00670,2
ITEM00100,ITEM00671,3
ITEM00106,ITEM00671,2
ITEM00107,ITEM00671,2
ITEM00034,ITEM00672,1
ITEM00122,ITEM00254,1
ITEM00123,ITEM00341,1
ITEM00123,ITEM00342,1
ITEM00123,ITEM00673,1
ITEM00124,ITEM00255,1
ITEM00123,ITEM00674,1
ITEM00125,ITEM00124,1
ITEM00123,ITEM00089,1
ITEM00123,ITEM00675,1
ITEM00123,ITEM00059,1
ITEM00124,ITEM00277,1
ITEM00126,ITEM00134,1
ITEM00127,ITEM00256,1
ITEM00127,ITEM00257,1
ITEM00128,ITEM00330,1
ITEM00128,ITEM00331,1
ITEM00129,ITEM00374,1
ITEM00129,ITEM00375,1
ITEM00130,ITEM00078,1
ITEM00131,ITEM00222,1
ITEM00132,ITEM00332,1
ITEM00133,ITEM00323,1
ITEM00133,ITEM00323,1
ITEM00132,ITEM00324,1
ITEM00132,ITEM00325,1
ITEM00129,ITEM00381,1
ITEM00049,ITEM00326,1
ITEM00129,ITEM00020,1
ITEM00097,ITEM00327,1
ITEM00097,ITEM00328,1
ITEM00129,ITEM00021,1
ITEM00129,ITEM00102,1
ITEM00132,ITEM00318,1
ITEM00134,ITEM00053,1
ITEM00131,ITEM00100,1
ITEM00097,ITEM00319,1
ITEM00135,ITEM00105,1
ITEM00131,ITEM00200,1
ITEM00136,ITEM00320,1
ITEM00131,ITEM00119,1
ITEM00123,ITEM00120,1
ITEM00097,ITEM00321,1
ITEM00097,ITEM00322,1
ITEM00137,ITEM00101,1
ITEM00126,ITEM00048,1
ITEM00133,ITEM00315,1
ITEM00133,ITEM00315,1
ITEM00129,ITEM00676,1
ITEM00052,ITEM00057,1
ITEM00052,ITEM00068,1
ITEM00052,ITEM00677,1
ITEM00052,ITEM00058,1
ITEM00133,ITEM00316,1
ITEM00049,ITEM00316,1
ITEM00133,ITEM00317,1
ITEM00129,ITEM00678,1
ITEM00129,ITEM00679,1
ITEM00131,ITEM00116,1
ITEM00138,ITEM00258,1
ITEM00131,ITEM00117,1
ITEM00137,ITEM00340,1
ITEM00139,ITEM00005,1
ITEM00046,ITEM00274,2
ITEM00140,ITEM00051,1
ITEM00126,ITEM00137,1
ITEM00137,ITEM00040,1
ITEM00141,ITEM00050,1
ITEM00141,ITEM00047,1
ITEM00136,ITEM00141,1
ITEM00142,ITEM00389,1
ITEM00136,ITEM00139,1
ITEM00131,ITEM00241,1
ITEM00143,ITEM00131,1
ITEM00144,ITEM00017,1
ITEM00144,ITEM00072,1
ITEM00144,ITEM00391,1
ITEM00143,ITEM00144,1
ITEM00133,ITEM00014,1
ITEM00049,ITEM00014,2
ITEM00144,ITEM00368,1
ITEM00144,ITEM00091,1
ITEM00145,ITEM00313,2
ITEM00144,ITEM00084,1
ITEM00144,ITEM00354,1
ITEM00133,ITEM00314,1
ITEM00133,ITEM00314,1
ITEM00133,ITEM00305,1
ITEM00133,ITEM00305,1
ITEM00144,ITEM00245,1
ITEM00132,ITEM00306,1
ITEM00132,ITEM00307,1
ITEM00131,ITEM00242,1
ITEM00137,ITEM00130,1
ITEM00137,ITEM00142,1
ITEM00137,ITEM00140,1
ITEM00052,ITEM00114,1
ITEM00129,ITEM00358,1
ITEM00049,ITEM00382,1
ITEM00140,ITEM00041,1
ITEM00131,ITEM00243,1
ITEM00132,ITEM00680,1
ITEM00129,ITEM00383,1
ITEM00129,ITEM00681,1
ITEM00131,ITEM00201,1
ITEM00131,ITEM00244,1
ITEM00049,ITEM00309,2
ITEM00133,ITEM00682,1
ITEM00133,ITEM00310,1
ITEM00049,ITEM00310,1
ITEM00133,ITEM00301,1
ITEM00049,ITEM00301,1
ITEM00129,ITEM00683,1
ITEM00129,ITEM00379,1
ITEM00146,ITEM00035,1
ITEM00130,ITEM00079,1
ITEM00145,ITEM00302,1
ITEM00131,ITEM00239,1
ITEM00097,ITEM00259,1
ITEM00129,ITEM00024,1
ITEM00049,ITEM00304,1
ITEM00129,ITEM00343,1
ITEM00127,ITEM00267,1
ITEM00129,ITEM00684,1
ITEM00129,ITEM00022,1
ITEM00129,ITEM00357,1
ITEM00143,ITEM00065,1
ITEM00132,ITEM00299,1
ITEM00132,ITEM00300,1
ITEM00133,ITEM00023,1
ITEM00049,ITEM00023,1
ITEM00137,ITEM00013,1
ITEM00137,ITEM00001,1
ITEM00137,ITEM00037,1
ITEM00131,ITEM00202,1
ITEM00123,ITEM00203,1
ITEM00132,ITEM00269,1
ITEM00122,ITEM00270,1
ITEM00122,ITEM00272,1
ITEM00122,ITEM00261,1
ITEM00122,ITEM00296,1
ITEM00122,ITEM00297,1
ITEM00046,ITEM00384,1
ITEM00096,ITEM00333,1
ITEM00096,ITEM00262,1
ITEM00138,ITEM00263,1
ITEM00131,ITEM00240,1
ITEM00145,ITEM00294,1
ITEM00131,ITEM00042,1
ITEM00136,ITEM00295,1
ITEM00126,ITEM00129,1
ITEM00147,ITEM00376,1
ITEM00147,ITEM00685,1
ITEM00147,ITEM00686,1
ITEM00147,ITEM00687,1
ITEM00147,ITEM00688,1
ITEM00147,ITEM00689,1
ITEM00147,ITEM00690,1
ITEM00147,ITEM00691,1
ITEM00147,ITEM00692,1
ITEM00147,ITEM00693,1
ITEM00147,ITEM00694,1
ITEM00148,ITEM00695,1
ITEM00148,ITEM00696,1
ITEM00148,ITEM00697,1
ITEM00148,ITEM00698,1
ITEM00148,ITEM00699,1
ITEM00148,ITEM00700,1
ITEM00148,ITEM00701,1
ITEM00148,ITEM00702,1
ITEM00148,ITEM00703,1
ITEM00148,ITEM00704,1
ITEM00148,ITEM00705,1
ITEM00148,ITEM00378,1
ITEM00148,ITEM00706,1
ITEM00129,ITEM00707,1
ITEM00132,ITEM00264,1
ITEM00128,ITEM00708,1
ITEM00131,ITEM00388,1
ITEM00137,ITEM00007,1
ITEM00131,ITEM00118,1
ITEM00137,ITEM00046,1
ITEM00133,ITEM00287,1
ITEM00049,ITEM00287,1
ITEM00133,ITEM00288,1
ITEM00133,ITEM00288,1
ITEM00131,ITEM00220,1
ITEM00133,ITEM00289,1
ITEM00133,ITEM00289,1
ITEM00136,ITEM00290,1
ITEM00134,ITEM00054,1
ITEM00126,ITEM00136,1
ITEM00143,ITEM00248,1
ITEM00131,ITEM00237,1
ITEM00142,ITEM00392,1
ITEM00143,ITEM00135,1
ITEM00131,ITEM00099,1
ITEM00122,ITEM00291,2
ITEM00149,ITEM00273,1
ITEM00149,ITEM00012,1
ITEM00143,ITEM00038,1
ITEM00137,ITEM00006,1
ITEM00128,ITEM00292,2
ITEM00137,ITEM00401,1
ITEM00129,ITEM00004,1
ITEM00131,ITEM00103,1
ITEM00138,ITEM00265,1
ITEM00097,ITEM00266,1
ITEM00097,ITEM00260,1
ITEM00135,ITEM00066,1
ITEM00136,ITEM00150,1
ITEM00136,ITEM00128,1
ITEM00150,ITEM00128,1
ITEM00150,ITEM00145,1
ITEM00150,ITEM00132,1
ITEM00150,ITEM00097,1
ITEM00136,ITEM00133,1
ITEM00150,ITEM00133,1
ITEM00150,ITEM00127,1
ITEM00150,ITEM00049,1
ITEM00150,ITEM00122,1
ITEM00150,ITEM00138,1
ITEM00150,ITEM00096,1
ITEM00137,ITEM00149,1
ITEM00126,ITEM00143,1
ITEM00135,ITEM00090,1
ITEM00151,ITEM00373,1
ITEM00151,ITEM00365,1
ITEM00151,ITEM00031,1
ITEM00151,ITEM00709,1
ITEM00151,ITEM00710,1
ITEM00151,ITEM00711,1
ITEM00135,ITEM00334,1
ITEM00135,ITEM00039,1
ITEM00145,ITEM00285,2
ITEM00137,ITEM00339,1
ITEM00137,ITEM00002,1
ITEM00124,ITEM00286,1
ITEM00128,ITEM00286,1
ITEM00128,ITEM00279,1
ITEM00128,ITEM00280,2
ITEM00128,ITEM00281,1
ITEM00128,ITEM00282,1
ITEM00128,ITEM00283,1
ITEM00128,ITEM00284,1
ITEM00137,ITEM00146,1
ITEM00152,ITEM00345,1
ITEM00152,ITEM00346,1
ITEM00152,ITEM00347,1
ITEM00152,ITEM00712,1
ITEM00152,ITEM00348,1
ITEM00152,ITEM00390,1
ITEM00152,ITEM00713,1
ITEM00152,ITEM00416,1
ITEM00152,ITEM00714,1
ITEM00153,ITEM00238,1
ITEM00152,ITEM00394,1
ITEM00152,ITEM00018,1
ITEM00018,ITEM00106,1
ITEM00152,ITEM00154,1
ITEM00154,ITEM00107,1
ITEM00152,ITEM00715,1
ITEM00152,ITEM00155,1
ITEM00155,ITEM00232,1
ITEM00152,ITEM00069,1
ITEM00069,ITEM00233,1
ITEM00152,ITEM00156,1
ITEM00156,ITEM00234,1
ITEM00157,ITEM00235,1
ITEM00152,ITEM00158,1
ITEM00158,ITEM00236,1
ITEM00152,ITEM00397,1
ITEM00152,ITEM00396,1
ITEM00152,ITEM00159,1
ITEM00159,ITEM00227,1
ITEM00152,ITEM00160,1
ITEM00160,ITEM00228,1
ITEM00152,ITEM00161,1
ITEM00161,ITEM00229,1
ITEM00152,ITEM00162,1
ITEM00162,ITEM00230,1
ITEM00152,ITEM00070,1
ITEM00070,ITEM00231,1
ITEM00152,ITEM00163,1
ITEM00163,ITEM00108,1
ITEM00152,ITEM00164,1
ITEM00164,ITEM00109,1
ITEM00165,ITEM00110,1
ITEM00166,ITEM00111,1
ITEM00152,ITEM00167,1
ITEM00167,ITEM00716,1
ITEM00152,ITEM00168,1
ITEM00168,ITEM00717,1
ITEM00152,ITEM00169,1
ITEM00169,ITEM00112,1
ITEM00152,ITEM00170,1
ITEM00170,ITEM00360,1
ITEM00171,ITEM00361,1
ITEM00152,ITEM00172,1
ITEM00172,ITEM00414,1
ITEM00173,ITEM00415,1
ITEM00152,ITEM00174,1
ITEM00174,ITEM00113,1
ITEM00152,ITEM00412,1
ITEM00152,ITEM00718,1
ITEM00152,ITEM00410,1
ITEM00152,ITEM00411,1
ITEM00152,ITEM00409,1
ITEM00152,ITEM00408,1
ITEM00152,ITEM00104,1
ITEM00152,ITEM00413,1
ITEM00152,ITEM00098,1
ITEM00152,ITEM00043,1
ITEM00043,ITEM00196,1
ITEM00152,ITEM00044,1
ITEM00044,ITEM00197,1
ITEM00152,ITEM00175,1
ITEM00175,ITEM00226,1
ITEM00152,ITEM00071,1
ITEM00152,ITEM00176,1
ITEM00176,ITEM00223,1
ITEM00152,ITEM00177,1
ITEM00177,ITEM00224,1
ITEM00152,ITEM00178,1
ITEM00178,ITEM00225,1
ITEM00152,ITEM00008,1
ITEM00008,ITEM00198,1
ITEM00010,ITEM00198,1
ITEM00009,ITEM00199,1
ITEM00152,ITEM00010,1
ITEM00152,ITEM00011,1
ITEM00152,ITEM00060,1
ITEM00061,ITEM00221,1
ITEM00152,ITEM00062,1
ITEM00062,ITEM00214,1
ITEM00152,ITEM00063,1
ITEM00152,ITEM00064,1
ITEM00179,ITEM00252,1
ITEM00152,ITEM00426,1
ITEM00152,ITEM00180,1
ITEM00180,ITEM00420,1
ITEM00152,ITEM00427,1
ITEM00152,ITEM00055,1
ITEM00055,ITEM00215,1
ITEM00152,ITEM00056,1
ITEM00056,ITEM00216,1
ITEM00152,ITEM00121,1
ITEM00121,ITEM00253,1
ITEM00152,ITEM00181,1
ITEM00181,ITEM00217,1
ITEM00152,ITEM00367,1
ITEM00152,ITEM00182,1
ITEM00182,ITEM00218,1
ITEM00152,ITEM00183,1
ITEM00183,ITEM00219,1
ITEM00152,ITEM00092,1
ITEM00092,ITEM00421,1
ITEM00152,ITEM00093,1
ITEM00093,ITEM00422,1
ITEM00094,ITEM00423,1
ITEM00095,ITEM00424,1
ITEM00095,ITEM00424,1
ITEM00152,ITEM00184,1
ITEM00184,ITEM00425,1
ITEM00152,ITEM00185,1
ITEM00185,ITEM00419,1
ITEM00152,ITEM00186,1
ITEM00186,ITEM00208,1
ITEM00152,ITEM00025,1
ITEM00152,ITEM00019,1
ITEM00187,ITEM00209,1
ITEM00152,ITEM00188,1
ITEM00188,ITEM00210,1
ITEM00152,ITEM00189,1
ITEM00189,ITEM00211,1
ITEM00152,ITEM00363,1
ITEM00152,ITEM00364,1
ITEM00190,ITEM00212,1
ITEM00191,ITEM00213,1
ITEM00152,ITEM00192,1
ITEM00192,ITEM00204,1
ITEM00152,ITEM00366,1
ITEM00152,ITEM00399,1
ITEM00152,ITEM00400,1
ITEM00193,ITEM00205,1
ITEM00152,ITEM00003,1
ITEM00003,ITEM00206,1
ITEM00152,ITEM00032,1
ITEM00032,ITEM00207,1
ITEM00152,ITEM00719,1
ITEM00152,ITEM00720,1
ITEM00194,ITEM00721,1
ITEM00194,ITEM00722,1
ITEM00194,ITEM00723,1
ITEM00194,ITEM00724,1
ITEM00194,ITEM00725,1
ITEM00195,ITEM00726,1
ITEM00195,ITEM00727,1
ITEM00045,ITEM00728,1
ITEM00045,ITEM00729,1
ITEM00045,ITEM00730,1
ITEM00045,ITEM00731,1
ITEM00045,ITEM00732,1
ITEM00045,ITEM00733,1
ITEM00045,ITEM00734,1
ITEM00045,ITEM00735,1
ITEM00045,ITEM00736,1
ITEM00045,ITEM00737,1
ITEM00051,ITEM00738,1
ITEM00051,ITEM00739,1
ITEM00051,ITEM00740,1
ITEM00041,ITEM00741,1
ITEM00041,ITEM00742,1
ITEM00041,ITEM00743,1
ITEM00041,ITEM00744,1
ITEM00041,ITEM00745,1
ITEM00041,ITEM00746,1
ITEM00114,ITEM00747,66
ITEM00041,ITEM00747,6
ITEM00194,ITEM00747,32
ITEM00045,ITEM00747,2
ITEM00100,ITEM00748,6
ITEM00196,ITEM00748,2
ITEM00197,ITEM00748,4
ITEM00198,ITEM00748,1
ITEM00199,ITEM00748,1
ITEM00100,ITEM00749,6
ITEM00196,ITEM00749,2
ITEM00197,ITEM00749,4
ITEM00198,ITEM00749,1
ITEM00199,ITEM00749,1
ITEM00200,ITEM00750,8
ITEM00201,ITEM00750,2
ITEM00202,ITEM00750,8
ITEM00203,ITEM00750,10
ITEM00204,ITEM00750,4
ITEM00205,ITEM00750,4
ITEM00206,ITEM00750,4
ITEM00207,ITEM00750,4
ITEM00208,ITEM00750,4
ITEM00209,ITEM00750,4
ITEM00210,ITEM00750,4
ITEM00211,ITEM00750,4
ITEM00212,ITEM00750,4
