item,quantity,due_date
ITEM00220,2,2025-06-01
ITEM00127,4,2025-06-01
ITEM00039,5,2025-06-01
ITEM00021,5,2025-06-01
ITEM00050,3,2025-06-01
ITEM00072,5,2025-06-01
ITEM00001,3,2025-06-01
ITEM00261,2,2025-06-01
ITEM00359,5,2025-06-01
ITEM00309,2,2025-06-01
ITEM00300,2,2025-06-01
ITEM00083,5,2025-06-01
ITEM00188,4,2025-06-01
ITEM00370,2,2025-06-01
ITEM00079,5,2025-06-01
ITEM00051,4,2025-06-01
ITEM00295,2,2025-06-01
ITEM00136,2,2025-06-01
ITEM00126,5,2025-06-01
ITEM00016,4,2025-06-01
ITEM00397,2,2025-06-01
ITEM00301,5,2025-06-01
ITEM00267,2,2025-06-01
ITEM00363,2,2025-06-01
ITEM00138,2,2025-06-01
ITEM00133,2,2025-06-01
ITEM00024,5,2025-06-01
ITEM00013,4,2025-06-01
ITEM00022,4,2025-06-01
ITEM00015,3,2025-06-01
ITEM00132,4,2025-06-01
ITEM00057,5,2025-06-01
ITEM00331,4,2025-06-01
ITEM00405,3,2025-06-01
ITEM00393,5,2025-06-01
ITEM00312,2,2025-06-01
ITEM00271,3,2025-06-01
ITEM00042,4,2025-06-01
ITEM00203,2,2025-06-01
ITEM00304,5,2025-06-01
ITEM00392,5,2025-06-01
ITEM00211,2,2025-06-01
ITEM00054,3,2025-06-01
ITEM00362,2,2025-06-01
ITEM00345,2,2025-06-01
ITEM00152,5,2025-06-01
ITEM00380,2,2025-06-01
ITEM00068,2,2025-06-01
ITEM00333,5,2025-06-01
ITEM00014,5,2025-06-01
ITEM00005,4,2025-06-01
ITEM00251,4,2025-06-01
ITEM00305,5,2025-06-01
ITEM00326,5,2025-06-01
ITEM00052,4,2025-06-01
ITEM00272,2,2025-06-01
ITEM00310,4,2025-06-01
ITEM00294,4,2025-06-01
ITEM00428,2,2025-06-01
ITEM00202,4,2025-06-01
ITEM00311,5,2025-06-01
ITEM00372,3,2025-06-01
ITEM00103,5,2025-06-01
ITEM00048,4,2025-06-01
ITEM00262,3,2025-06-01
ITEM00152,3,2025-06-01
ITEM00332,2,2025-06-01
ITEM00058,2,2025-06-01
ITEM00317,5,2025-06-01
ITEM00384,4,2025-06-01
ITEM00402,3,2025-06-01
ITEM00263,5,2025-06-01
ITEM00377,4,2025-06-01
ITEM00288,5,2025-06-01
ITEM00159,2,2025-06-01
ITEM00386,2,2025-06-01
ITEM00206,3,2025-06-01
ITEM00047,3,2025-06-01
ITEM00268,3,2025-06-01
ITEM00135,3,2025-06-01
ITEM00152,4,2025-06-01
ITEM00086,2,2025-06-01
ITEM00194,2,2025-06-01
ITEM00201,5,2025-06-01
ITEM00239,5,2025-06-01
ITEM00287,2,2025-06-01
ITEM00265,2,2025-06-01
ITEM00223,5,2025-06-01
ITEM00152,4,2025-06-01
ITEM00237,5,2025-06-01
ITEM00046,4,2025-06-01
ITEM00123,4,2025-06-01
ITEM00158,3,2025-06-01
ITEM00152,5,2025-06-01
ITEM00327,2,2025-06-01
ITEM00041,2,2025-06-01
ITEM00023,4,2025-06-01
ITEM00389,3,2025-06-01
ITEM00131,2,2025-06-01
ITEM00244,3,2025-06-01
ITEM00192,2,2025-06-01
ITEM00152,3,2025-06-01
ITEM00152,3,2025-06-01
ITEM00395,3,2025-06-01
ITEM00075,2,2025-06-01
ITEM00308,5,2025-06-01
ITEM00322,2,2025-06-01
ITEM00337,3,2025-06-01
ITEM00385,2,2025-06-01
ITEM00185,2,2025-06-01
ITEM00391,2,2025-06-01
ITEM00045,4,2025-06-01
ITEM00248,5,2025-06-01
ITEM00290,2,2025-06-01
ITEM00081,5,2025-06-01
ITEM00204,5,2025-06-01
ITEM00152,5,2025-06-01
ITEM00114,2,2025-06-01
ITEM00200,3,2025-06-01
ITEM00120,5,2025-06-01
ITEM00374,4,2025-06-01
ITEM00368,2,2025-06-01
ITEM00193,3,2025-06-01
ITEM00143,5,2025-06-01
ITEM00227,4,2025-06-01
ITEM00061,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00274,3,2025-06-01
ITEM00338,5,2025-06-01
ITEM00289,5,2025-06-01
ITEM00250,5,2025-06-01
ITEM00082,3,2025-06-01
ITEM00324,5,2025-06-01
ITEM00383,4,2025-06-01
ITEM00148,2,2025-06-01
ITEM00249,3,2025-06-01
ITEM00225,2,2025-06-01
ITEM00366,3,2025-06-01
ITEM00011,5,2025-06-01
ITEM00038,3,2025-06-01
ITEM00356,3,2025-06-01
ITEM00247,3,2025-06-01
ITEM00320,2,2025-06-01
ITEM00025,3,2025-06-01
ITEM00027,2,2025-06-01
ITEM00334,2,2025-06-01
ITEM00152,3,2025-06-01
ITEM00319,4,2025-06-01
ITEM00130,5,2025-06-01
ITEM00381,3,2025-06-01
ITEM00242,5,2025-06-01
ITEM00085,3,2025-06-01
ITEM00189,5,2025-06-01
ITEM00205,4,2025-06-01
ITEM00364,3,2025-06-01
ITEM00073,5,2025-06-01
ITEM00152,3,2025-06-01
ITEM00078,3,2025-06-01
ITEM00306,4,2025-06-01
ITEM00118,5,2025-06-01
ITEM00197,5,2025-06-01
ITEM00152,4,2025-06-01
ITEM00314,5,2025-06-01
ITEM00354,3,2025-06-01
ITEM00313,4,2025-06-01
ITEM00187,2,2025-06-01
ITEM00028,5,2025-06-01
ITEM00119,3,2025-06-01
ITEM00091,3,2025-06-01
ITEM00382,3,2025-06-01
ITEM00357,4,2025-06-01
ITEM00236,5,2025-06-01
ITEM00126,5,2025-06-01
ITEM00254,4,2025-06-01
ITEM00277,5,2025-06-01
ITEM00258,3,2025-06-01
ITEM00340,4,2025-06-01
ITEM00147,3,2025-06-01
ITEM00151,4,2025-06-01
ITEM00346,5,2025-06-01
ITEM00358,4,2025-06-01
ITEM00105,2,2025-06-01
ITEM00053,5,2025-06-01
ITEM00019,3,2025-06-01
ITEM00209,3,2025-06-01
ITEM00234,4,2025-06-01
ITEM00285,3,2025-06-01
ITEM00102,4,2025-06-01
ITEM00084,3,2025-06-01
ITEM00178,5,2025-06-01
ITEM00176,2,2025-06-01
ITEM00152,3,2025-06-01
ITEM00323,5,2025-06-01
ITEM00101,4,2025-06-01
ITEM00117,4,2025-06-01
ITEM00321,4,2025-06-01
ITEM00307,5,2025-06-01
ITEM00065,5,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00077,2,2025-06-01
ITEM00316,4,2025-06-01
ITEM00043,4,2025-06-01
ITEM00278,5,2025-06-01
ITEM00255,3,2025-06-01
ITEM00256,4,2025-06-01
ITEM00115,4,2025-06-01
ITEM00318,5,2025-06-01
ITEM00342,4,2025-06-01
ITEM00315,5,2025-06-01
ITEM00088,3,2025-06-01
ITEM00403,5,2025-06-01
ITEM00235,4,2025-06-01
ITEM00330,5,2025-06-01
ITEM00404,4,2025-06-01
ITEM00116,5,2025-06-01
ITEM00376,4,2025-06-01
ITEM00126,2,2025-06-01
ITEM00341,3,2025-06-01
ITEM00100,2,2025-06-01
ITEM00152,5,2025-06-01
ITEM00089,4,2025-06-01
ITEM00424,5,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,4,2025-06-01
ITEM00059,3,2025-06-01
ITEM00125,5,2025-06-01
ITEM00245,4,2025-06-01
ITEM00351,5,2025-06-01
ITEM00152,2,2025-06-01
ITEM00275,2,2025-06-01
ITEM00124,5,2025-06-01
ITEM00134,3,2025-06-01
ITEM00292,3,2025-06-01
ITEM00257,2,2025-06-01
ITEM00162,5,2025-06-01
ITEM00152,3,2025-06-01
ITEM00152,2,2025-06-01
ITEM00276,5,2025-06-01
ITEM00329,4,2025-06-01
ITEM00279,3,2025-06-01
ITEM00398,2,2025-06-01
ITEM00092,2,2025-06-01
ITEM00152,3,2025-06-01
ITEM00246,5,2025-06-01
ITEM00076,5,2025-06-01
ITEM00152,4,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,3,2025-06-01
ITEM00422,2,2025-06-01
ITEM00226,2,2025-06-01
ITEM00152,3,2025-06-01
ITEM00152,3,2025-06-01
ITEM00152,3,2025-06-01
ITEM00373,4,2025-06-01
ITEM00214,2,2025-06-01
ITEM00126,5,2025-06-01
ITEM00365,5,2025-06-01
ITEM00350,2,2025-06-01
ITEM00196,4,2025-06-01
ITEM00401,2,2025-06-01
ITEM00228,5,2025-06-01
ITEM00218,2,2025-06-01
ITEM00074,2,2025-06-01
ITEM00369,3,2025-06-01
ITEM00121,5,2025-06-01
ITEM00056,3,2025-06-01
ITEM00063,2,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,4,2025-06-01
ITEM00152,3,2025-06-01
ITEM00221,2,2025-06-01
ITEM00339,5,2025-06-01
ITEM00348,3,2025-06-01
ITEM00283,3,2025-06-01
ITEM00387,4,2025-06-01
ITEM00152,2,2025-06-01
ITEM00095,5,2025-06-01
ITEM00071,3,2025-06-01
ITEM00006,4,2025-06-01
ITEM00284,3,2025-06-01
ITEM00161,3,2025-06-01
ITEM00175,5,2025-06-01
ITEM00286,4,2025-06-01
ITEM00233,4,2025-06-01
ITEM00152,2,2025-06-01
ITEM00004,4,2025-06-01
ITEM00423,5,2025-06-01
ITEM00098,3,2025-06-01
ITEM00152,3,2025-06-01
ITEM00349,5,2025-06-01
ITEM00156,3,2025-06-01
ITEM00152,3,2025-06-01
ITEM00126,5,2025-06-01
ITEM00146,2,2025-06-01
ITEM00184,5,2025-06-01
ITEM00219,2,2025-06-01
ITEM00413,4,2025-06-01
ITEM00232,3,2025-06-01
ITEM00069,5,2025-06-01
ITEM00181,5,2025-06-01
ITEM00230,3,2025-06-01
ITEM00421,4,2025-06-01
ITEM00352,5,2025-06-01
ITEM00253,5,2025-06-01
ITEM00281,5,2025-06-01
ITEM00070,5,2025-06-01
ITEM00347,2,2025-06-01
ITEM00229,4,2025-06-01
ITEM00126,3,2025-06-01
ITEM00160,4,2025-06-01
ITEM00062,3,2025-06-01
ITEM00425,3,2025-06-01
ITEM00216,3,2025-06-01
ITEM00044,5,2025-06-01
ITEM00217,3,2025-06-01
ITEM00215,5,2025-06-01
ITEM00002,4,2025-06-01
ITEM00094,5,2025-06-01
ITEM00093,3,2025-06-01
ITEM00390,5,2025-06-01
ITEM00107,3,2025-06-01
ITEM00157,4,2025-06-01
ITEM00231,3,2025-06-01
ITEM00353,5,2025-06-01
ITEM00282,4,2025-06-01
ITEM00155,4,2025-06-01
ITEM00080,2,2025-06-01
ITEM00280,3,2025-06-01
ITEM00367,5,2025-06-01
ITEM00182,3,2025-06-01
ITEM00179,4,2025-06-01
ITEM00416,5,2025-06-01
ITEM00183,4,2025-06-01
ITEM00420,3,2025-06-01
ITEM00427,5,2025-06-01
ITEM00238,5,2025-06-01
ITEM00106,5,2025-06-01
ITEM00163,5,2025-06-01
ITEM00361,5,2025-06-01
ITEM00055,5,2025-06-01
ITEM00110,2,2025-06-01
ITEM00173,5,2025-06-01
ITEM00180,4,2025-06-01
ITEM00153,5,2025-06-01
ITEM00172,2,2025-06-01
ITEM00036,2,2025-06-01
ITEM00104,4,2025-06-01
ITEM00410,4,2025-06-01
ITEM00170,5,2025-06-01
ITEM00064,5,2025-06-01
ITEM00171,5,2025-06-01
ITEM00111,4,2025-06-01
ITEM00174,4,2025-06-01
ITEM00113,3,2025-06-01
ITEM00252,2,2025-06-01
ITEM00165,4,2025-06-01
ITEM00108,5,2025-06-01
ITEM00109,4,2025-06-01
ITEM00414,2,2025-06-01
ITEM00411,3,2025-06-01
ITEM00412,2,2025-06-01
ITEM00166,5,2025-06-01
ITEM00018,2,2025-06-01
ITEM00168,2,2025-06-01
ITEM00164,2,2025-06-01
ITEM00409,4,2025-06-01
ITEM00415,4,2025-06-01
ITEM00112,2,2025-06-01
ITEM00154,2,2025-06-01
ITEM00426,2,2025-06-01
ITEM00394,5,2025-06-01
ITEM00408,3,2025-06-01
ITEM00360,3,2025-06-01
ITEM00716,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00167,5,2025-06-01
ITEM00126,2,2025-06-01
ITEM00152,1,2025-06-01
ITEM00717,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,4,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,3,2025-06-01
ITEM00387,4,2025-06-01
ITEM00126,2,2025-06-01
ITEM00126,4,2025-06-01
ITEM00152,1,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,4,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,4,2025-06-01
ITEM00356,3,2025-06-01
ITEM00152,4,2025-06-01
ITEM00126,5,2025-06-01
ITEM00152,3,2025-06-01
ITEM00074,1,2025-06-01
ITEM00126,3,2025-06-01
ITEM00152,1,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,1,2025-06-01
ITEM00152,1,2025-06-01
ITEM00152,1,2025-06-01
ITEM00152,3,2025-06-01
ITEM00152,1,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,1,2025-06-01
ITEM00395,1,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00152,5,2025-06-01
ITEM00152,1,2025-06-01
ITEM00152,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00152,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00073,5,2025-06-01
ITEM00152,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00152,3,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,2,2025-06-01
ITEM00152,2,2025-06-01
ITEM00355,4,2025-06-01
ITEM00003,5,2025-06-01
ITEM00024,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00303,5,2025-06-01
ITEM00269,5,2025-06-01
ITEM00241,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00152,4,2025-06-01
ITEM00254,3,2025-06-01
ITEM00203,3,2025-06-01
ITEM00261,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00152,1,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00302,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00247,3,2025-06-01
ITEM00191,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00032,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,1,2025-06-01
ITEM00028,2,2025-06-01
ITEM00278,3,2025-06-01
ITEM00089,1,2025-06-01
ITEM00134,4,2025-06-01
ITEM00141,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00341,1,2025-06-01
ITEM00115,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,2,2025-06-01
ITEM00276,5,2025-06-01
ITEM00275,4,2025-06-01
ITEM00088,5,2025-06-01
ITEM00335,2,2025-06-01
ITEM00301,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00256,2,2025-06-01
ITEM00315,2,2025-06-01
ITEM00277,3,2025-06-01
ITEM00327,3,2025-06-01
ITEM00296,2,2025-06-01
ITEM00240,4,2025-06-01
ITEM00013,4,2025-06-01
ITEM00294,2,2025-06-01
ITEM00239,1,2025-06-01
ITEM00311,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00342,2,2025-06-01
ITEM00255,3,2025-06-01
ITEM00332,1,2025-06-01
ITEM00087,1,2025-06-01
ITEM00131,2,2025-06-01
ITEM00310,4,2025-06-01
ITEM00237,4,2025-06-01
ITEM00428,5,2025-06-01
ITEM00268,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00076,5,2025-06-01
ITEM00125,1,2025-06-01
ITEM00324,5,2025-06-01
ITEM00075,2,2025-06-01
ITEM00244,4,2025-06-01
ITEM00202,5,2025-06-01
ITEM00309,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00246,1,2025-06-01
ITEM00257,5,2025-06-01
ITEM00330,4,2025-06-01
ITEM00380,5,2025-06-01
ITEM00057,2,2025-06-01
ITEM00140,1,2025-06-01
ITEM00271,5,2025-06-01
ITEM00042,5,2025-06-01
ITEM00389,3,2025-06-01
ITEM00001,2,2025-06-01
ITEM00359,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00124,5,2025-06-01
ITEM00059,1,2025-06-01
ITEM00403,3,2025-06-01
ITEM00078,1,2025-06-01
ITEM00314,3,2025-06-01
ITEM00331,3,2025-06-01
ITEM00406,1,2025-06-01
ITEM00312,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00329,1,2025-06-01
ITEM00323,1,2025-06-01
ITEM00077,3,2025-06-01
ITEM00037,2,2025-06-01
ITEM00343,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00048,5,2025-06-01
ITEM00375,4,2025-06-01
ITEM00047,4,2025-06-01
ITEM00035,1,2025-06-01
ITEM00251,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00222,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00300,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00325,3,2025-06-01
ITEM00045,1,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,5,2025-06-01
ITEM00270,3,2025-06-01
ITEM00017,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
ITEM00020,1,2025-06-01
ITEM00023,5,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00210,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00328,2,2025-06-01
ITEM00305,1,2025-06-01
ITEM00052,4,2025-06-01
ITEM00212,4,2025-06-01
ITEM00259,2,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,4,2025-06-01
ITEM00169,4,2025-06-01
ITEM00322,3,2025-06-01
ITEM00374,3,2025-06-01
ITEM00100,4,2025-06-01
ITEM00404,5,2025-06-01
ITEM00201,4,2025-06-01
ITEM00304,4,2025-06-01
ITEM00295,1,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,2,2025-06-01
ITEM00169,1,2025-06-01
ITEM00169,5,2025-06-01
ITEM00169,3,2025-06-01
ITEM00169,3,2025-06-01
