item,period,quantity
FP1-004,2022-04-04,9.0
FP1-004,2022-04-11,7.0
FP1-004,2022-04-18,11.0
FP1-004,2022-04-25,8.0
FP1-004,2022-05-02,6.0
FP1-004,2022-05-09,4.0
FP1-004,2022-05-16,3.0
FP1-004,2022-05-23,3.0
FP1-004,2022-05-30,2.0
FP1-004,2022-06-06,6.0
FP1-004,2022-06-13,1.0
FP1-004,2022-06-20,3.0
FP1-004,2022-06-27,2.0
FP1-004,2022-07-04,0.0
FP1-004,2022-07-11,2.0
FP1-004,2022-07-18,2.0
FP1-004,2022-07-25,1.0
FP1-004,2022-08-01,1.0
FP1-004,2022-08-08,0.0
FP1-004,2022-08-15,3.0
FP1-004,2022-08-22,1.0
FP1-004,2022-08-29,1.0
FP1-004,2022-09-05,2.0
FP1-004,2022-09-12,6.0
FP1-004,2022-09-19,3.0
FP1-004,2022-09-26,5.0
FP1-004,2022-10-03,6.0
FP1-004,2022-10-10,8.0
FP1-004,2022-10-17,11.0
FP1-004,2022-10-24,11.0
FP1-004,2022-10-31,12.0
FP1-004,2022-11-07,11.0
FP1-004,2022-11-14,8.0
FP1-004,2022-11-21,5.0
FP1-004,2022-11-28,6.0
FP1-004,2022-12-05,2.0
FP1-004,2022-12-12,4.0
FP1-004,2022-12-19,5.0
FP1-004,2022-12-26,4.0
FP1-004,2023-01-02,4.0
FP1-004,2023-01-09,7.0
FP1-004,2023-01-16,6.0
FP1-004,2023-01-23,0.0
FP1-004,2023-01-30,7.0
FP1-004,2023-02-06,6.0
FP1-004,2023-02-13,4.0
FP1-004,2023-02-20,3.0
FP1-004,2023-02-27,6.0
FP1-004,2023-03-06,5.0
FP1-004,2023-03-13,6.0
FP1-004,2023-03-20,5.0
FP1-004,2023-03-27,8.0
FP1-004,2023-04-03,10.0
FP1-004,2023-04-10,9.0
FP1-004,2023-04-17,15.0
FP1-004,2023-04-24,10.0
FP1-004,2023-05-01,7.0
FP1-004,2023-05-08,10.0
FP1-004,2023-05-15,5.0
FP1-004,2023-05-22,6.0
FP1-004,2023-05-29,8.0
FP1-004,2023-06-05,8.0
FP1-004,2023-06-12,4.0
FP1-004,2023-06-19,4.0
FP1-004,2023-06-26,2.0
FP1-004,2023-07-03,2.0
FP1-004,2023-07-10,2.0
FP1-004,2023-07-17,3.0
FP1-004,2023-07-24,3.0
FP1-004,2023-07-31,6.0
FP1-004,2023-08-07,5.0
FP1-004,2023-08-14,3.0
FP1-004,2023-08-21,3.0
FP1-004,2023-08-28,6.0
FP1-004,2023-09-04,6.0
FP1-004,2023-09-11,5.0
FP1-004,2023-09-18,7.0
FP1-004,2023-09-25,8.0
FP1-004,2023-10-02,8.0
FP1-004,2023-10-09,15.0
FP1-004,2023-10-16,16.0
FP1-004,2023-10-23,12.0
FP1-004,2023-10-30,13.0
FP1-004,2023-11-06,11.0
FP1-004,2023-11-13,12.0
FP1-004,2023-11-20,9.0
FP1-004,2023-11-27,8.0
FP1-004,2023-12-04,8.0
FP1-004,2023-12-11,9.0
FP1-004,2023-12-18,6.0
FP1-004,2023-12-25,6.0
FP1-005,2021-01-04,2.0
FP1-005,2021-01-11,1.0
FP1-005,2021-01-18,0.0
FP1-005,2021-01-25,1.0
FP1-005,2021-02-01,1.0
FP1-005,2021-02-08,3.0
FP1-005,2021-02-15,4.0
FP1-005,2021-02-22,1.0
FP1-005,2021-03-01,2.0
FP1-005,2021-03-08,2.0
FP1-005,2021-03-15,2.0
FP1-005,2021-03-22,1.0
FP1-005,2021-03-29,1.0
FP1-005,2021-04-05,2.0
FP1-005,2021-04-12,1.0
FP1-005,2021-04-19,2.0
FP1-005,2021-04-26,1.0
FP1-005,2021-05-03,3.0
FP1-005,2021-05-10,1.0
FP1-005,2021-05-17,3.0
FP1-005,2021-05-24,1.0
FP1-005,2021-05-31,1.0
FP1-005,2021-06-07,1.0
FP1-005,2021-06-14,1.0
FP1-005,2021-06-21,2.0
FP1-005,2021-06-28,1.0
FP1-005,2021-07-05,1.0
FP1-005,2021-07-12,1.0
FP1-005,2021-07-19,2.0
FP1-005,2021-07-26,1.0
FP1-005,2021-08-02,2.0
FP1-005,2021-08-09,1.0
FP1-005,2021-08-16,1.0
FP1-005,2021-08-23,2.0
FP1-005,2021-08-30,1.0
FP1-005,2021-09-06,1.0
FP1-005,2021-09-13,3.0
FP1-005,2021-09-20,3.0
FP1-005,2021-09-27,4.0
FP1-005,2021-10-04,3.0
FP1-005,2021-10-11,2.0
FP1-005,2021-10-18,2.0
FP1-005,2021-10-25,2.0
FP1-005,2021-11-01,3.0
FP1-005,2021-11-08,2.0
FP1-005,2021-11-15,5.0
FP1-005,2021-11-22,7.0
FP1-005,2021-11-29,3.0
FP1-005,2021-12-06,5.0
FP1-005,2021-12-13,5.0
FP1-005,2021-12-20,5.0
FP1-005,2021-12-27,3.0
FP1-005,2022-01-03,2.0
FP1-005,2022-01-10,2.0
FP1-005,2022-01-17,5.0
FP1-005,2022-01-24,3.0
FP1-005,2022-01-31,4.0
FP1-005,2022-02-07,3.0
FP1-005,2022-02-14,4.0
FP1-005,2022-02-21,3.0
FP1-005,2022-02-28,2.0
FP1-005,2022-03-07,5.0
FP1-005,2022-03-14,3.0
FP1-005,2022-03-21,4.0
FP1-005,2022-03-28,3.0
FP1-005,2022-04-04,4.0
FP1-005,2022-04-11,2.0
FP1-005,2022-04-18,0.0
FP1-005,2022-04-25,4.0
FP1-005,2022-05-02,3.0
FP1-005,2022-05-09,3.0
FP1-005,2022-05-16,4.0
FP1-005,2022-05-23,5.0
FP1-005,2022-05-30,3.0
FP1-005,2022-06-06,6.0
FP1-005,2022-06-13,3.0
FP1-005,2022-06-20,4.0
FP1-005,2022-06-27,4.0
FP1-005,2022-07-04,3.0
FP1-005,2022-07-11,7.0
FP1-005,2022-07-18,3.0
FP1-005,2022-07-25,4.0
FP1-005,2022-08-01,5.0
FP1-005,2022-08-08,3.0
FP1-005,2022-08-15,4.0
FP1-005,2022-08-22,4.0
FP1-005,2022-08-29,7.0
FP1-005,2022-09-05,4.0
FP1-005,2022-09-12,5.0
FP1-005,2022-09-19,6.0
FP1-005,2022-09-26,5.0
FP1-005,2022-10-03,5.0
FP1-005,2022-10-10,5.0
FP1-005,2022-10-17,3.0
FP1-005,2022-10-24,4.0
FP1-005,2022-10-31,4.0
FP1-005,2022-11-07,5.0
FP1-005,2022-11-14,6.0
FP1-005,2022-11-21,9.0
FP1-005,2022-11-28,7.0
FP1-005,2022-12-05,8.0
FP1-005,2022-12-12,8.0
FP1-005,2022-12-19,7.0
FP1-005,2022-12-26,6.0
FP1-005,2023-01-02,0.0
FP1-005,2023-01-09,5.0
FP1-005,2023-01-16,6.0
FP1-005,2023-01-23,6.0
FP1-005,2023-01-30,8.0
FP1-005,2023-02-06,5.0
FP1-005,2023-02-13,6.0
FP1-005,2023-02-20,8.0
FP1-005,2023-02-27,6.0
FP1-005,2023-03-06,7.0
FP1-005,2023-03-13,8.0
FP1-005,2023-03-20,6.0
FP1-005,2023-03-27,5.0
FP1-005,2023-04-03,8.0
FP1-005,2023-04-10,6.0
FP1-005,2023-04-17,7.0
FP1-005,2023-04-24,6.0
FP1-005,2023-05-01,8.0
FP1-005,2023-05-08,7.0
FP1-005,2023-05-15,8.0
FP1-005,2023-05-22,7.0
FP1-005,2023-05-29,8.0
FP1-005,2023-06-05,8.0
FP1-005,2023-06-12,7.0
FP1-005,2023-06-19,9.0
FP1-005,2023-06-26,7.0
FP1-005,2023-07-03,9.0
FP1-005,2023-07-10,10.0
FP1-005,2023-07-17,8.0
FP1-005,2023-07-24,7.0
FP1-005,2023-07-31,8.0
FP1-005,2023-08-07,7.0
FP1-005,2023-08-14,9.0
FP1-005,2023-08-21,8.0
FP1-005,2023-08-28,8.0
FP1-005,2023-09-04,10.0
FP1-005,2023-09-11,10.0
FP1-005,2023-09-18,9.0
FP1-005,2023-09-25,8.0
FP1-005,2023-10-02,10.0
FP1-005,2023-10-09,9.0
FP1-005,2023-10-16,9.0
FP1-005,2023-10-23,9.0
FP1-005,2023-10-30,9.0
FP1-005,2023-11-06,9.0
FP1-005,2023-11-13,9.0
FP1-005,2023-11-20,19.0
FP1-005,2023-11-27,11.0
FP1-005,2023-12-04,14.0
FP1-005,2023-12-11,13.0
FP1-005,2023-12-18,11.0
FP1-005,2023-12-25,11.0
FP1-006,2021-01-04,0.0
FP1-006,2021-01-11,0.0
FP1-006,2021-01-18,0.0
FP1-006,2021-01-25,0.0
FP1-006,2021-02-01,0.0
FP1-006,2021-02-08,0.0
FP1-006,2021-02-15,1.0
FP1-006,2021-02-22,0.0
FP1-006,2021-03-01,0.0
FP1-006,2021-03-08,0.0
FP1-006,2021-03-15,2.0
FP1-006,2021-03-22,0.0
FP1-006,2021-03-29,2.0
FP1-006,2021-04-05,4.0
FP1-006,2021-04-12,6.0
FP1-006,2021-04-19,9.0
FP1-006,2021-04-26,8.0
FP1-006,2021-05-03,8.0
FP1-006,2021-05-10,7.0
FP1-006,2021-05-17,7.0
FP1-006,2021-05-24,7.0
FP1-006,2021-05-31,9.0
FP1-006,2021-06-07,11.0
FP1-006,2021-06-14,6.0
FP1-006,2021-06-21,4.0
FP1-006,2021-06-28,2.0
FP1-006,2021-07-05,6.0
FP1-006,2021-07-12,1.0
FP1-006,2021-07-19,1.0
FP1-006,2021-07-26,0.0
FP1-006,2021-08-02,0.0
FP1-006,2021-08-09,0.0
FP1-006,2021-08-16,0.0
FP1-006,2021-08-23,1.0
FP1-006,2021-08-30,1.0
FP1-006,2021-09-06,0.0
FP1-006,2021-09-13,0.0
FP1-006,2021-09-20,0.0
FP1-006,2021-09-27,6.0
FP1-006,2021-10-04,0.0
FP1-006,2021-10-11,3.0
FP1-006,2021-10-18,0.0
